companyLabel,ceoLabel,confidence,answer,eval,reference
Vend,Christian Printzell Halvorsen,high,Ana Wight,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Vend_%28software%29?utm_source=openai))
Qemetica,Dariusz Krawczyk,high,Kamil Majczak,True,([people.equilar.com](https://people.equilar.com/bio/marek-konik-qemetica-sa/29101263?utm_source=openai))
AXA,Thomas Buberl,high,Thomas Buberl,True,([axa.com](https://www.axa.com/en/press/press-releases/antoine-gosset-grainville-is-appointed-chairman-of-axa-and-thomas-buberl-is-renewed-as-ceo?utm_source=openai))
Kongsberg Gruppen,Rolf Qvenild,High,Geir Håøy,True,([maritimeprofessional.com](https://www.maritimeprofessional.com/news/interview-geir-kongsberg-383544?utm_source=openai))
Endesa,José Damián Bogas Gálvez,high,José Damián Bogas Gálvez,True,([au.finance.yahoo.com](https://au.finance.yahoo.com/quote/ELE.VI/profile/?utm_source=openai))
Ferrovial,Ignacio Madridejos,high,Ignacio Madridejos,True,([seekingalpha.com](https://seekingalpha.com/article/4674044-ferrovial-se-frrvf-q4-2023-earnings-call-transcript?utm_source=openai))
Solaria Energía y Medio Ambiente,Arturo Díaz-Tejeiro Larrañaga,high,José Arturo Díaz-Tejeiro Larrañaga,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/SOLARIA-ENERGIA-Y-MEDIO-A-50915809/company-governance/?utm_source=openai))
Fluidra,Jaime Ramírez,high,Bruce Brooks,False,([seekingalpha.com](https://seekingalpha.com/article/4675044-fluidra-s-fluif-q4-2023-earnings-call-transcript?utm_source=openai))
Rovi,Juan López-Belmonte Encina,high,Thomas Carson,False,([seekingalpha.com](https://seekingalpha.com/news/2520696-rovi-activist-wins-two-board-seats-ceo-named-chairman?utm_source=openai))
Boeing,Q128210216,high,Kelly Ortberg,True,([de.wikipedia.org](https://de.wikipedia.org/wiki/Boeing?utm_source=openai))
Amadeus IT Group,José Antonio Tazón,High,Luis Maroto,True,([fortune.com](https://fortune.com/company/amadeus-it-group/?utm_source=openai))
Tessellis,Davide Rota,High,Davide Rota,True,([globaldata.com](https://www.globaldata.com/company-profile/tiscali-group/executives/?utm_source=openai))
Banca Transilvania,Ömer Tetik,high,Ömer Tetik,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Banca_Transilvania?utm_source=openai))
Miniso,Ye Guofu,high,Guofu Ye,True,([simplywall.st](https://simplywall.st/stocks/us/retail/nyse-mnso/miniso-group-holding/management?utm_source=openai))
Deutsche Post AG,Tobias Meyer,high,Tobias Meyer,True,([asiacargonews.com](https://www.asiacargonews.com/en-us/news/detail?id=5966&utm_source=openai))
Intel,Michelle Johnston Holthaus,high,Lip-Bu Tan,True,https://en.wikipedia.org/wiki/Pat_Gelsinger
Commonwealth Bank,Donald Neil Sanders,high,Matt Comyn,True,([commbank.com.au](https://www.commbank.com.au/about-us/our-company/matt-comyn.html?utm_source=openai))
